LocationType,Location,Age group,TimeFrame,DataFormat,Data
Ward,Ward 4,Under 18,2019,Number,19638
Ward,Ward 4,18 and over,2019,Number,70354
Ward,Ward 4,Under 3,2019,Number,4239
Ward,Ward 4,All Ages,2020,Number,90300
Ward,Ward 4,Under 5,2020,Number,5793
Ward,Ward 4,Under 18,2020,Number,19354
Ward,Ward 4,18 and over,2020,Number,70946
Ward,Ward 4,Under 3,2020,Number,3574
Ward,Ward 5,Under 3,2019,Number,3607
Ward,Ward 5,18 and over,2012,Number,61808
Ward,Ward 5,All Ages,2012,Number,75470
Ward,Ward 5,Under 18,2012,Number,13662
Ward,Ward 5,Under 5,2012,Number,4020
Ward,Ward 5,18 and over,2019,Number,74857
Ward,Ward 5,Under 18,2019,Number,15315
Ward,Ward 5,Under 5,2019,Number,5477
Ward,Ward 5,All Ages,2019,Number,90172
Ward,Ward 5,All Ages,2016,Number,85464
Ward,Ward 5,Under 5,2016,Number,6581
Ward,Ward 5,Under 18,2016,Number,15470
Ward,Ward 5,18 and over,2016,Number,69999
Ward,Ward 5,Under 3,2017,Number,3597
Ward,Ward 5,All Ages,2017,Number,86136
Ward,Ward 5,Under 5,2017,Number,6056
Ward,Ward 5,Under 18,2017,Number,14669
Ward,Ward 5,18 and over,2017,Number,71467
Ward,Ward 5,18 and over,2014,Number,65882
Ward,Ward 5,All Ages,2014,Number,80307
Ward,Ward 5,Under 18,2014,Number,14425
Ward,Ward 5,Under 5,2014,Number,5288
Ward,Ward 5,All Ages,2015,Number,82049
Ward,Ward 5,Under 5,2015,Number,5743
Ward,Ward 5,Under 18,2015,Number,14604
Ward,Ward 5,18 and over,2015,Number,67445
Ward,Ward 5,18 and over,2011,Number,60827
Ward,Ward 5,All Ages,2011,Number,74528
Ward,Ward 5,Under 18,2011,Number,13701
Ward,Ward 5,Under 5,2011,Number,3910
Ward,Ward 5,18 and over,2009,Number,59821
Ward,Ward 5,All Ages,2009,Number,74673
Ward,Ward 5,Under 18,2009,Number,14852
Ward,Ward 5,Under 5,2009,Number,4273
Ward,Ward 5,18 and over,2010,Number,61576
Ward,Ward 5,All Ages,2010,Number,74308
Ward,Ward 5,Under 18,2010,Number,12732
Ward,Ward 5,Under 5,2010,Number,3735
Ward,Ward 5,18 and over,2013,Number,64730
Ward,Ward 5,All Ages,2013,Number,79342
Ward,Ward 5,Under 18,2013,Number,14612
Ward,Ward 5,Under 5,2013,Number,4940
Ward,Ward 5,Under 3,2018,Number,3595
Ward,Ward 5,All Ages,2018,Number,87850
Ward,Ward 5,Under 5,2018,Number,5945
Ward,Ward 5,Under 18,2018,Number,15027
Ward,Ward 5,18 and over,2018,Number,72823
Ward,Ward 5,18 and over,2000,Number,56112
Ward,Ward 5,All Ages,2000,Number,71440
Ward,Ward 5,Under 18,2000,Number,15328
Ward,Ward 5,Under 5,2000,Number,4001
Ward,Ward 5,Under 3,2020,Number,3867
Ward,Ward 5,18 and over,2020,Number,75026
Ward,Ward 5,Under 18,2020,Number,17068
Ward,Ward 5,Under 5,2020,Number,6572
Ward,Ward 5,All Ages,2020,Number,92094
Ward,Ward 6,18 and over,2000,Number,56378
Ward,Ward 6,All Ages,2000,Number,68035
Ward,Ward 6,Under 18,2000,Number,11657
Ward,Ward 6,Under 5,2000,Number,3342
Ward,Ward 6,18 and over,2013,Number,72921
Ward,Ward 6,All Ages,2013,Number,83821
Ward,Ward 6,Under 18,2013,Number,10900
Ward,Ward 6,Under 5,2013,Number,4142
Ward,Ward 6,Under 3,2018,Number,4159
Ward,Ward 6,18 and over,2010,Number,66717
Ward,Ward 6,All Ages,2010,Number,76598
Ward,Ward 6,Under 18,2010,Number,9881
Ward,Ward 6,Under 5,2010,Number,3902
Ward,Ward 6,All Ages,2018,Number,94558
Ward,Ward 6,Under 5,2018,Number,5971
Ward,Ward 6,Under 18,2018,Number,13448
Ward,Ward 6,18 and over,2018,Number,81110
Ward,Ward 6,18 and over,2009,Number,63394
Ward,Ward 6,All Ages,2009,Number,74782
Ward,Ward 6,Under 18,2009,Number,11388
Ward,Ward 6,Under 5,2009,Number,4118
Ward,Ward 6,18 and over,2011,Number,66259
Ward,Ward 6,All Ages,2011,Number,76288
Ward,Ward 6,Under 18,2011,Number,10029
Ward,Ward 6,Under 5,2011,Number,4164
Ward,Ward 6,All Ages,2015,Number,84290
Ward,Ward 6,Under 5,2015,Number,4804
Ward,Ward 6,Under 18,2015,Number,10873
Ward,Ward 6,18 and over,2015,Number,73417
Ward,Ward 6,18 and over,2014,Number,71221
Ward,Ward 6,All Ages,2014,Number,82092
Ward,Ward 6,Under 18,2014,Number,10871
Ward,Ward 6,Under 5,2014,Number,4628
Ward,Ward 6,18 and over,2012,Number,68017
Ward,Ward 6,All Ages,2012,Number,79119
Ward,Ward 6,Under 18,2012,Number,11102
Ward,Ward 6,Under 5,2012,Number,4380
Ward,Ward 6,All Ages,2017,Number,91093
Ward,Ward 6,Under 5,2017,Number,5847
Ward,Ward 6,Under 18,2017,Number,12819
Ward,Ward 6,18 and over,2017,Number,78274
Ward,Ward 6,Under 3,2017,Number,4179
Ward,Ward 6,All Ages,2016,Number,87480
Ward,Ward 6,Under 5,2016,Number,4811
Ward,Ward 6,Under 18,2016,Number,11547
Ward,Ward 6,18 and over,2016,Number,75933
Ward,Ward 6,All Ages,2019,Number,99786
Ward,Ward 6,Under 5,2019,Number,6354
Ward,Ward 6,Under 18,2019,Number,14444
Ward,Ward 6,18 and over,2019,Number,85342
Ward,Ward 6,Under 3,2019,Number,4437
Ward,Ward 6,All Ages,2020,Number,101882
Ward,Ward 6,Under 5,2020,Number,5883
Ward,Ward 6,Under 18,2020,Number,14821
Ward,Ward 6,18 and over,2020,Number,87061
Ward,Ward 6,Under 3,2020,Number,4212
Ward,Ward 7,Under 3,2019,Number,3508
Ward,Ward 7,18 and over,2019,Number,62164
Ward,Ward 7,Under 18,2019,Number,19782
Ward,Ward 7,Under 5,2019,Number,6557
Ward,Ward 7,All Ages,2019,Number,81946
Ward,Ward 7,18 and over,2014,Number,54115
Ward,Ward 7,All Ages,2014,Number,70064
Ward,Ward 7,Under 18,2014,Number,15949
Ward,Ward 7,Under 5,2014,Number,4757
Ward,Ward 7,All Ages,2016,Number,75796
Ward,Ward 7,Under 5,2016,Number,5988
Ward,Ward 7,Under 18,2016,Number,17963
Ward,Ward 7,18 and over,2016,Number,57833
Ward,Ward 7,Under 3,2017,Number,3617
Ward,Ward 7,All Ages,2017,Number,79800
Ward,Ward 7,Under 5,2017,Number,6444
Ward,Ward 7,Under 18,2017,Number,18842
Ward,Ward 7,18 and over,2017,Number,60958
Ward,Ward 7,18 and over,2011,Number,50398
Ward,Ward 7,All Ages,2011,Number,68768
Ward,Ward 7,Under 18,2011,Number,18370
Ward,Ward 7,Under 5,2011,Number,4449
Ward,Ward 7,18 and over,2012,Number,50996
Ward,Ward 7,All Ages,2012,Number,68035
Ward,Ward 7,Under 18,2012,Number,17039
Ward,Ward 7,Under 5,2012,Number,4319
Ward,Ward 7,18 and over,2010,Number,53243
Ward,Ward 7,All Ages,2010,Number,71068
Ward,Ward 7,Under 18,2010,Number,17825
Ward,Ward 7,Under 5,2010,Number,4758
Ward,Ward 7,All Ages,2015,Number,73290
Ward,Ward 7,Under 5,2015,Number,5204
Ward,Ward 7,Under 18,2015,Number,16731
Ward,Ward 7,18 and over,2015,Number,56559
Ward,Ward 7,18 and over,2009,Number,53116
Ward,Ward 7,All Ages,2009,Number,72918
Ward,Ward 7,Under 18,2009,Number,19802
Ward,Ward 7,Under 5,2009,Number,4837
Ward,Ward 7,Under 3,2018,Number,3617
Ward,Ward 7,All Ages,2018,Number,81299
Ward,Ward 7,Under 5,2018,Number,6654
Ward,Ward 7,Under 18,2018,Number,19757
Ward,Ward 7,18 and over,2018,Number,61542
Ward,Ward 7,18 and over,2013,Number,49296
Ward,Ward 7,All Ages,2013,Number,65777
Ward,Ward 7,Under 18,2013,Number,16481
Ward,Ward 7,Under 5,2013,Number,4585
Ward,Ward 7,18 and over,2000,Number,51109
Ward,Ward 7,All Ages,2000,Number,70527
Ward,Ward 7,Under 18,2000,Number,19418
Ward,Ward 7,Under 5,2000,Number,4963
Ward,Ward 7,Under 3,2020,Number,3963
Ward,Ward 7,18 and over,2020,Number,63761
Ward,Ward 7,Under 18,2020,Number,20510
Ward,Ward 7,Under 5,2020,Number,7180
Ward,Ward 7,All Ages,2020,Number,84271
Ward,Ward 8,18 and over,2000,Number,45461
Ward,Ward 8,All Ages,2000,Number,70927
Ward,Ward 8,Under 18,2000,Number,25466
Ward,Ward 8,Under 5,2000,Number,7269
Ward,Ward 8,18 and over,2013,Number,53130
Ward,Ward 8,All Ages,2013,Number,76445
Ward,Ward 8,Under 18,2013,Number,23315
Ward,Ward 8,Under 5,2013,Number,7586
Ward,Ward 8,18 and over,2009,Number,48194
Ward,Ward 8,All Ages,2009,Number,72393
Ward,Ward 8,Under 18,2009,Number,24199
Ward,Ward 8,Under 5,2009,Number,7043
Ward,Ward 8,Under 3,2018,Number,4612
Ward,Ward 8,All Ages,2018,Number,85024
Ward,Ward 8,Under 5,2018,Number,8474
Ward,Ward 8,Under 18,2018,Number,25215
Ward,Ward 8,18 and over,2018,Number,59809
Ward,Ward 8,All Ages,2015,Number,81133
Ward,Ward 8,Under 5,2015,Number,7870
Ward,Ward 8,Under 18,2015,Number,26112
Ward,Ward 8,18 and over,2015,Number,55021
Ward,Ward 8,18 and over,2010,Number,49335
Ward,Ward 8,All Ages,2010,Number,70712
Ward,Ward 8,Under 18,2010,Number,21377
Ward,Ward 8,Under 5,2010,Number,6557
Ward,Ward 8,18 and over,2012,Number,52267
Ward,Ward 8,All Ages,2012,Number,75010
Ward,Ward 8,Under 18,2012,Number,22743
Ward,Ward 8,Under 5,2012,Number,7616
Ward,Ward 8,18 and over,2011,Number,47457
Ward,Ward 8,All Ages,2011,Number,68549
Ward,Ward 8,Under 18,2011,Number,21092
Ward,Ward 8,Under 5,2011,Number,6769
Ward,Ward 8,All Ages,2017,Number,85160
Ward,Ward 8,Under 5,2017,Number,8312
Ward,Ward 8,Under 18,2017,Number,25843
Ward,Ward 8,18 and over,2017,Number,59317
Ward,Ward 8,Under 3,2017,Number,4821
Ward,Ward 8,All Ages,2016,Number,83108
Ward,Ward 8,Under 5,2016,Number,8061
Ward,Ward 8,Under 18,2016,Number,24765
Ward,Ward 8,18 and over,2016,Number,58343
Ward,Ward 8,18 and over,2014,Number,54893
Ward,Ward 8,All Ages,2014,Number,78686
Ward,Ward 8,Under 18,2014,Number,23793
Ward,Ward 8,Under 5,2014,Number,7854
Ward,Ward 8,All Ages,2019,Number,86384
Ward,Ward 8,Under 5,2019,Number,8875
Ward,Ward 8,Under 18,2019,Number,26140
Ward,Ward 8,18 and over,2019,Number,60244
Ward,Ward 8,Under 3,2019,Number,4839
Ward,Ward 8,All Ages,2020,Number,85564
Ward,Ward 8,Under 5,2020,Number,8314
Ward,Ward 8,Under 18,2020,Number,25442
Ward,Ward 8,18 and over,2020,Number,60122
Ward,Ward 8,Under 3,2020,Number,4393
